都道府県名,区域名,緯度,経度
愛媛県,愛媛県中予,33.674,132.808
愛媛県,愛媛県南予,33.344,132.621
高知県,高知県東部,33.504,134.126
高知県,高知県中部,33.632,133.544
高知県,高知県西部,33.119,132.901
福岡県,福岡県福岡,33.557,130.385
福岡県,福岡県北九州,33.795,130.902
福岡県,福岡県筑豊,33.610,130.764
福岡県,福岡県筑後,33.252,130.654
佐賀県,佐賀県北部,33.371,129.929
佐賀県,佐賀県南部,33.229,130.281
長崎県,長崎県北部,33.183,129.765
長崎県,長崎県南西部,32.778,129.880
長崎県,長崎県島原半島,32.750,130.292
長崎県,長崎県対馬,34.397,129.336
長崎県,長崎県壱岐,33.760,129.726
長崎県,長崎県五島,32.838,128.924
熊本県,熊本県阿蘇,33.031,131.127
熊本県,熊本県熊本,32.828,130.808
熊本県,熊本県球磨,32.259,130.896
熊本県,熊本県天草・芦北,32.245,130.457
大分県,大分県北部,33.513,131.281
大分県,大分県中部,33.211,131.572
大分県,大分県南部,32.898,131.610
大分県,大分県西部,33.183,131.160
宮崎県,宮崎県北部平野部,32.407,131.566
宮崎県,宮崎県北部山沿い,32.546,131.237
宮崎県,宮崎県南部平野部,31.868,131.347
宮崎県,宮崎県南部山沿い,31.975,131.000
鹿児島県,鹿児島県薩摩,31.714,130.435
鹿児島県,鹿児島県大隅,31.433,130.913
鹿児島県,鹿児島県十島村,29.840,129.869
鹿児島県,鹿児島県甑島,31.756,129.792
鹿児島県,鹿児島県種子島,30.590,130.995
鹿児島県,鹿児島県屋久島,30.344,130.495
鹿児島県,鹿児島県奄美北部,28.270,129.358
鹿児島県,鹿児島県奄美南部,27.698,128.941
沖縄県,沖縄県本島北部,26.593,128.100
沖縄県,沖縄県本島中南部,26.303,127.770
沖縄県,沖縄県久米島,26.357,126.782
沖縄県,沖縄県大東島,25.888,131.270
沖縄県,沖縄県宮古島,24.766,125.321
沖縄県,沖縄県石垣島,24.427,124.189
沖縄県,沖縄県与那国島,24.337,123.837
沖縄県,沖縄県西表島,24.457,122.991
